,Ticker,1Y Performance %,1Y Change %,5Y Change %,Momentum Filter ✓
112,QBTS,1782.47,1782.47,185.62,false
140,TDUP,767.68,767.68,-60,false
24,CDTX,704.39,704.39,114.66,false
123,SES,683.78,683.78,-78.42,false
43,EOSE,678.15,678.15,76.05,false
130,SNDK,654.39,654.39,654.39,false
128,SLDP,569.81,569.81,-29,false
34,CTM,564.8,564.8,-0.83,false
33,CTEV,556.54,556.54,-77.17,false
9,ALM,447.71,447.71,574.2,true
12,AMPX,414.74,414.74,29.2,false
95,NVTS,385.11,385.11,-28.75,false
97,OPEN,379.1,379.1,-52.57,false
158,VSAT,353.15,353.15,14.24,false
162,VTYX,349.05,349.05,-55.14,false
14,APPS,344.12,344.12,-83.13,false
16,ASM,325,325,363.64,true
63,HOOD,299.79,299.79,278.89,false
35,CTMX,294.23,294.23,-46.41,false
133,SSRM,291.35,291.35,10.49,false
153,UMAC,285.11,285.11,258.42,false
37,DAVE,284.09,284.09,-23.08,false
121,SEDG,265.2,265.2,-80.33,false
168,XGN,230.47,230.47,-39.54,false
64,HOUS,229.5,229.5,21.11,false
31,COGT,221.97,221.97,203.27,false
107,PLTR,219.06,219.06,1209.74,true
135,STIM,218.84,218.84,-67.07,false
120,SATS,213.18,213.18,185.69,false
76,LASR,212.77,212.77,23.51,false
87,MP,212.09,212.09,353.51,true
109,PRCH,207.72,207.72,3.18,false
59,GOSS,205.42,205.42,-70.6,false
92,NKTR,201.58,201.58,-76.95,false
78,LEU,201.1,201.1,2641.69,true
116,RPID,200.8,200.8,-82.43,false
25,CGTX,192.64,192.64,-86.3,false
15,APYX,191.97,191.97,-39.39,false
81,LITE,191.37,191.37,206.1,true
17,ATRO,184.17,184.17,527.49,true
75,KTOS,180.96,180.96,294.39,true
4,AEVA,177.89,177.89,-77.56,false
122,SEI,177.79,177.79,858.31,true
157,VRNA,174.13,174.13,1460.73,true
98,OPRX,172.09,172.09,-32.87,false
68,IAG,171.77,171.77,289.46,true
62,HL,171.74,171.74,190.75,true
22,BW,170.36,170.36,157.14,false
73,KGC,169.34,169.34,252.47,true
60,GROY,166.17,166.17,1.28,false
127,SKYT,166.14,166.14,24.52,false
89,NEPH,164.02,164.02,-30.72,false
104,PARR,163.22,163.22,348.52,true
83,LQDA,161.34,161.34,563.01,true
72,JOBY,158.7,158.7,53.95,false
30,CMPX,158.66,158.66,-45.53,false
26,CIB,155.61,155.61,292.67,true
27,CIFR,154.01,154.01,89.35,false
57,FUBO,153.95,153.95,-74.97,false
102,OUST,153.94,153.94,-74.29,false
21,BKTI,153.94,153.94,403.24,true
145,TNGX,150.15,150.15,-17.92,false
163,WBD,150,150,5.73,false
65,HRTG,149.62,149.62,218.25,true
106,PHLT,146.82,146.82,146.82,false
82,LMND,145.24,145.24,41.32,false
2,ADPT,145.03,145.03,-70.16,false
91,NGL,141.65,141.65,330.17,true
39,DK,139.94,139.94,290.29,true
45,EQX,138.46,138.46,20.98,false
124,SGHC,138.3,138.3,34.73,false
71,IONQ,136.51,136.51,403.89,true
167,XERS,136.19,136.19,42.53,false
101,OSS,135.71,135.71,116.6,false
155,UUUU,133.68,133.68,801.15,true
74,KRMN,130.88,130.88,130.88,false
20,BKSY,126.66,126.66,-80.21,false
10,ALNT,125.97,125.97,97.94,false
44,EPRX,125.41,125.41,121.36,false
126,SII,121.66,121.66,260.44,true
108,PRAX,121.24,121.24,-63.31,false
142,TIGO,118.48,118.48,62.85,false
151,U,115.66,115.66,-59.26,false
147,TPC,114.27,114.27,363.93,true
49,EYE,113.73,113.73,-47.33,false
114,RAPT,111.78,111.78,-87.79,false
61,GSAT,110.25,110.25,1110.51,true
